V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112
-15.0,-15.910775000000001,-16.490135,-16.83634,-17.14863,-17.417655,-17.703084999999998,-17.955705,-18.08601,-18.089495000000003,-18.000245,-17.93335,-17.946695,-17.988175,-17.88983,-17.60933,-17.17158,-16.62503,-15.929474999999998,-15.4403,-15.21641,-15.40919,-16.055104999999998,-17.093125,-18.07496,-18.914845,-19.757450000000002,-20.60915,-21.212565,-21.648615,-21.98717,-22.124275,-22.031795,-21.725369999999998,-21.220215000000003,-20.642129999999998,-20.08266,-19.682055,-19.412945,-19.174945,-19.041155,-19.019905,-19.063679999999998,-19.204099999999997,-19.33806,-19.502875,-19.444734999999998,-19.223480000000002,-18.941110000000002,-18.70447,-18.597625,-18.697670000000002,-19.07235,-19.781845,-20.788245,-21.897665,35.0,34.93744,35.736865,36.523965000000004,37.129760000000005,37.57771,37.81996,37.7574,37.535804999999996,37.22139,36.81322,36.537395000000004,36.684445,37.324835,38.419635,39.827065,41.530805,43.76673,46.391954999999996,49.27099,52.433585,55.967969999999994,59.583445,63.06479,66.30201499999998,69.267495,71.95587499999999,74.39868999999999,76.436055,77.72219000000001,78.77364,80.010135,81.260655,82.390305,83.39449499999999,84.592825,85.740495,87.01209499999999,88.67257000000001,90.717075,92.73990500000001,94.82435999999998,96.765165,98.58544,99.993975,101.65547000000001,103.62611000000001,105.85073,108.29915499999998,110.762115,113.05448,115.154745,116.91314,118.35711999999998,119.743215,120.95913999999999
-14.44376,-15.2159,-16.19748,-16.896179999999998,-17.348209999999998,-17.73173,-18.029654999999998,-18.264935,-18.52189,-18.665795,-18.73167,-18.704045,-18.55113,-18.37195,-18.320439999999998,-18.403570000000002,-18.339734999999997,-18.02209,-17.56258,-16.896179999999998,-16.13798,-15.56899,-15.239955,-15.46682,-16.21669,-17.246465,-18.218185000000002,-19.073455000000003,-20.04033,-21.058204999999997,-21.86579,-22.473370000000003,-22.727605,-22.28671,-21.580529999999996,-20.84715,-19.9419,-18.73677,-17.444174999999998,-16.11945,-14.797445,-13.665075,-12.931865,-13.199444999999997,-14.371595000000001,-16.263865,-18.65449,-21.299945,-24.09398,-26.91241,-29.683239999999998,-32.3519,-34.891360000000006,-37.102295,-38.858055,-40.131015,35.185810000000004,34.61036,34.721285,35.562275,36.22604,36.757715000000005,37.136815,37.25318,37.162655,36.83991,36.479765,36.266415,36.108485,36.028755,36.23641,36.875865,37.96106,39.438784999999996,41.171765,43.45087,46.121485,49.1083,52.410039999999995,56.129895,59.933135,63.473555000000005,66.63003,69.422195,71.656845,73.3673,74.04015999999999,74.11547,74.353725,75.352135,76.95446999999999,79.409695,83.008935,87.21363,91.810855,96.80630500000001,101.72848499999999,106.3235,110.05100499999999,113.31849,116.26306,118.62699500000001,120.40799999999999,121.64772500000001,122.44111500000001,122.654125,122.3256,121.367565,119.45362,116.1053,111.11035999999999,104.50365000000001
-13.99241,-13.90724,-13.984080000000002,-14.07316,-14.15884,-14.266024999999999,-14.364199999999997,-14.293905,-13.983825,-13.564264999999999,-13.112575,-12.419825000000001,-11.848965,-11.43153,-11.197355,-11.28839,-11.657885,-12.07277,-12.391605,-12.74784,-13.130595000000001,-13.596309999999999,-14.144390000000003,-15.044625,-16.25477,-17.567510000000002,-18.842595,-20.23209,-21.765235,-23.205305000000003,-24.436785,-25.34144,-25.741619999999998,-26.035890000000002,-26.627404999999996,-27.24765,-27.56657,-27.518715,-27.611450000000005,-27.580934999999997,-27.67843,-28.095525000000002,-28.768044999999997,-29.617195,-30.673235000000002,-31.89222,-33.277975,-34.754509999999996,-36.328625,-37.96155999999999,-39.435629999999996,-40.73494,-41.86068,-42.785650000000004,-43.50832,-44.11743,36.47747,37.0995,37.747114999999994,38.28814,38.780120000000004,39.24303,39.722005,40.09303,40.253679999999996,40.14505,40.01007,40.126945,40.585605,41.39132,42.25033,42.977675,43.8893,45.005264999999994,46.15047,47.25547,48.58538,50.341989999999996,52.159375,54.044929999999994,56.055435,58.067555,60.028335,62.05363,64.64935999999999,67.79963000000001,71.480895,75.67020499999998,79.69240499999998,83.33321000000001,86.779365,89.74611999999999,92.14414,94.13042,96.50447,99.21597,102.12161,105.22564,108.229455,110.94869000000001,113.08576,114.747935,116.218265,117.53117499999999,118.55636,119.61002,120.63069999999999,121.30985,121.69379500000001,121.54096500000001,120.61659,118.94498
-14.88831,-15.09231,-14.98997,-14.882615,-14.845385,-14.93149,-15.448035,-16.2818,-16.75695,-16.803955,-16.871615000000002,-17.435164999999998,-18.36804,-19.576060000000002,-20.55322,-21.17185,-21.573984999999997,-21.689075000000003,-21.747384999999998,-21.900215,-22.126144999999998,-22.463765000000002,-22.962970000000002,-23.4184,-23.729415,-23.844335,-23.698985,-23.437015,-23.18958,-23.016349999999996,-22.831899999999997,-22.61515,-22.488329999999998,-22.62178,-23.024085,-23.39902,-23.751260000000002,-24.4146,-25.259245,-26.190419999999996,-27.180329999999998,-28.16344,-29.103625,-29.844569999999997,-30.045254999999997,-29.830884999999995,-29.52735,-29.268524999999997,-28.73226,-27.970999999999997,-27.256065,-27.05929,-27.14225,-27.270004999999998,-27.53002,-27.92374,34.434155,33.44518,32.73288,32.29479,32.251185,32.41362,32.80853,33.795635000000004,35.89981,38.637065,41.353325,44.168184999999994,47.08598,49.609629999999996,51.687625,53.30645,55.088049999999996,57.299665,59.76288,62.52231999999999,65.33735,67.824025,70.087915,72.27674999999999,74.596825,76.892845,79.41530499999999,82.28958,85.57177,89.217165,92.786485,95.650645,97.64602,98.98204999999999,100.08314,101.21296000000001,102.27120999999998,103.164475,103.98795499999999,104.39893000000001,104.46667500000001,104.06071499999999,102.28574499999999,99.44895500000001,96.12239500000001,93.28348,91.14122499999999,89.895295,89.40424999999999,88.979505,88.193255,87.71283499999998,87.56808,87.629025,87.990615,88.464745
-14.682779999999998,-15.34,-16.19816,-16.81628,-17.22462,-17.50869,-17.71422,-17.791485,-17.73921,-17.739549999999998,-17.999225000000003,-18.415555,-18.687640000000002,-18.961,-19.605809999999998,-20.5012,-21.497145000000003,-22.1298,-22.357005,-22.210465,-21.65907,-20.701545000000003,-19.74776,-19.116805,-18.766945,-18.602555,-18.71416,-19.03359,-19.43785,-19.83565,-20.400305,-20.99488,-21.279545000000002,-21.315755000000003,-21.29884,-21.080985,-20.73546,-20.55084,-20.43201,-20.33579,-20.28819,-20.27119,-20.292185,-20.348795,-20.46839,-20.564695,-20.54302,-20.326695,-19.90246,-19.20682,-18.24462,-17.03439,-15.85102,-14.84037,-13.657934999999998,-12.293515,34.66034,33.972775,33.6655,33.619175,33.547435,33.42529,33.38653,33.4921,33.747355,34.085995000000004,34.70675,36.071509999999996,38.49792,41.12187,43.681135,46.00104,47.745239999999995,48.823465,49.4262,50.017375,50.580754999999996,50.798525,50.854965,51.455915,52.64736,54.41162,56.50058,59.029585,62.023625,65.280825,68.59914,72.07836,75.64938000000001,78.72825,81.66109,84.827765,87.90280999999999,90.607935,93.245145,95.46857499999999,97.461995,99.29263999999999,100.795185,101.94370499999998,102.90794499999998,103.700145,104.33416000000001,104.94692500000001,105.644605,106.526055,107.50219499999999,108.27373999999999,108.85735,109.65294999999999,110.964585,112.59888
-14.889585,-15.415735,-15.97291,-16.303729999999998,-16.349885,-16.62112,-17.28837,-18.23408,-19.560250000000003,-20.917105,-21.74101,-21.77263,-21.232879999999998,-20.405915,-19.68452,-19.14154,-18.72521,-18.58173,-18.772385,-19.19186,-19.72821,-20.072885,-20.27459,-20.432435,-20.657939999999996,-21.10793,-21.750615,-22.325384999999997,-22.60325,-22.640055000000004,-22.631895,-22.410130000000002,-21.97493,-21.45337,-20.732485,-19.88308,-18.916715,-17.966585,-17.184415,-16.702125000000002,-16.61194,-16.95823,-17.741505,-18.38946,-18.69648,-18.74935,-18.642675,-18.414365,-18.133185,-18.006365,-17.96174,-17.951455,-18.108365,-18.486105000000002,-19.37529,-20.29601,35.323595,35.379865,36.29302,38.270035,40.5539,42.717999999999996,44.913804999999996,46.865065,48.241045,48.36557,46.885975,44.840195,43.575735,43.17564,43.512240000000006,44.185355,45.244625,46.54011,47.757225,49.007405000000006,50.51097,51.987845,53.300415,54.858549999999994,56.704409999999996,58.729704999999996,60.874085,63.10848000000001,65.404585,67.762145,70.234115,72.9474,75.5399,77.94183000000001,80.193565,82.42081999999999,84.79044999999999,87.29378499999999,89.46834,91.24144000000001,92.8255,94.45018999999999,95.5608,95.73683499999999,95.38638,95.33623,96.01028000000001,97.31222500000001,98.63567499999999,99.90183499999999,101.03998499999999,101.86456999999999,102.33904,102.50997499999998,102.248685,101.670005
-14.236104999999997,-13.91455,-13.46898,-13.08597,-12.270735,-11.479385,-11.205515,-11.195229999999999,-11.95377,-13.284275,-14.09849,-14.442654999999998,-14.692895000000002,-14.98487,-15.28968,-15.750125,-16.426045000000002,-17.196485,-18.06561,-18.991429999999998,-19.979895,-21.03313,-22.05534,-23.017795,-23.973194999999997,-24.935395,-25.81982,-26.55218,-27.454114999999998,-28.473435000000002,-29.231804999999998,-29.692590000000003,-29.883245000000002,-30.02817,-30.764865,-31.27478,-30.52355,-28.820915,-27.44757,-26.949725,-26.5124,-26.329905,-26.35685,-26.671605,-27.091929999999998,-27.453519999999997,-27.77873,-28.198885,-28.779519999999998,-29.323859999999996,-29.6336,-29.89829,-30.146234999999997,-30.132379999999998,-29.71418,-28.96533,35.89743,36.039805,36.164925,36.63421,37.789699999999996,38.606635,39.861574999999995,41.896475,43.92908,44.659569999999995,45.035185,45.748504999999994,46.79562,48.135305,49.566875,50.915825,52.13123999999999,53.386179999999996,54.937005,56.912915,59.26155,61.939475,64.93393999999999,68.28574499999999,71.96429,75.791585,79.59168,82.99831,85.561145,87.872125,88.546855,88.334525,87.752275,86.445145,83.3888,78.769305,76.63299999999998,78.49024999999999,82.957425,88.92196,94.22604499999998,98.670695,102.065255,104.827415,107.04574500000001,108.79819,110.0703,110.912735,111.45460999999999,111.72882000000001,111.70867499999999,111.208705,110.422795,109.401265,108.01075,106.53429999999999
-14.603984999999998,-14.60152,-14.418429999999997,-14.238230000000001,-14.07537,-13.853179999999998,-13.657000000000004,-13.532475,-13.44824,-13.566390000000002,-13.855899999999998,-14.149065,-14.802545,-15.37383,-15.731850000000001,-16.21839,-16.790525,-17.4786,-18.10573,-18.76771,-19.48188,-20.19299,-20.879195,-21.50845,-22.070299999999996,-22.590584999999997,-23.079165,-23.474755000000002,-23.709609999999998,-23.851219999999998,-23.674844999999998,-23.184905,-22.645325,-22.16397,-22.089425,-22.70117,-24.028869999999998,-26.134660000000004,-28.612494999999996,-30.322100000000002,-30.687089999999998,-29.639465,-28.528599999999997,-27.947879999999998,-27.916089999999997,-28.374155,-29.125724999999996,-30.13051,-31.412309999999998,-32.75361,-33.97234,-34.944485,-35.6074,-36.04761499999999,-36.442949999999996,-36.78431,36.040229999999994,36.422304999999994,36.878074999999995,37.354415,37.800155,38.24938,38.65517,39.06402,39.39586,39.705005,40.13604,40.430225,40.851144999999995,42.177144999999996,43.67884,45.201955,46.83625,48.63366,50.58407,52.769335,55.10589999999999,57.482755,59.597555,61.723575,63.427400000000006,64.58153,65.65865,66.7271,67.91038499999999,69.68714,71.776015,74.02800500000001,76.6143,79.58105499999999,82.81164999999999,86.14756,89.63698,92.9921,94.40471500000001,93.08373,90.51757999999998,88.308685,88.21663,89.537955,91.35873999999998,92.991165,94.440245,95.59242,96.52198000000001,97.424,98.41934999999998,99.756485,101.54752,103.54366,105.94746,109.00941499999999
-14.66136,-15.121550000000001,-15.845835000000001,-16.32855,-16.623925,-17.090915000000003,-17.783665,-18.452275,-19.110685,-19.683075,-20.134169999999997,-20.538855,-20.811195,-20.900785,-20.853695,-20.655815,-20.338255,-20.277055,-20.83066,-22.158275000000003,-24.18085,-25.461714999999998,-25.787095,-25.888244999999998,-25.93406,-25.927175,-25.900485000000003,-25.883485,-25.801119999999997,-25.673704999999998,-25.55173,-25.384705,-25.2,-25.1575,-25.271994999999997,-25.401024999999997,-25.43035,-25.44055,-25.63146,-26.180049999999998,-27.045009999999998,-27.98494,-28.885685000000002,-29.60436,-30.12796,-30.50468,-30.880805000000002,-31.221994999999996,-31.43526,-31.566754999999997,-31.661445,-31.704795,-31.720689999999998,-31.739815,-31.710575000000002,-31.60118,35.12971,34.718905,34.916444999999996,36.040910000000004,37.18739,38.192005,39.203675000000004,40.10357,41.133175,42.469205,44.08157,45.83988,47.85608,50.011085,52.368815,54.918305000000004,57.71234,61.171245,65.08234999999999,68.620985,70.88385499999998,70.199265,68.996685,68.62651,69.20671999999999,70.31733,71.693565,73.369765,75.1455,76.750045,78.155775,79.50990999999999,80.78040499999999,81.979075,83.21812,84.425715,85.48269,86.43231,87.641775,89.067055,90.38583,91.46719999999999,92.32094,92.905315,93.23911000000001,93.41675999999998,93.41948000000001,93.22789,93.05712500000001,92.90879999999999,92.74083999999999,92.513635,92.371005,92.2509,92.09331,91.86092
-14.56293,-14.723495,-15.06613,-15.65501,-16.15209,-16.481805,-16.840419999999998,-17.263125000000002,-17.704784999999998,-18.127235,-18.664435,-19.25085,-20.010155,-20.692874999999997,-21.26875,-21.89027,-22.41302,-22.929735,-23.482065,-23.912929999999996,-24.29067,-24.567345000000003,-24.740319999999997,-24.875045,-25.067144999999996,-25.178665,-25.202635,-25.28109,-25.358695,-25.395755,-25.42304,-25.402555,-25.330985,-25.160899999999998,-24.87428,-24.5319,-24.260155,-24.07987,-23.88369,-23.671615000000003,-23.532725,-23.484189999999998,-23.46226,-23.4286,-23.50289,-23.522100000000002,-23.35108,-23.11444,-22.80623,-22.25339,-21.58308,-20.952125,-20.362054999999998,-19.888350000000003,-19.545035,-19.33925,35.35292,35.130645,34.98232,35.200685,36.05927,37.162315,38.345344999999995,39.569685,40.814425,41.992014999999995,43.215165,44.442395,45.97452,47.977885,50.426905,52.89793999999999,55.852965,59.20307,62.67379,66.263,69.772735,72.5513,74.41637,75.642495,76.693095,77.634725,78.36844500000001,79.05430999999999,79.71255000000001,80.32115,80.86515,81.33452,81.83245000000001,82.50871000000001,83.437335,84.54675499999999,85.70742999999999,87.11613499999999,88.599385,89.94017500000001,91.37744,93.32818999999999,95.70045499999999,98.19223,100.97207,104.08323999999999,107.36823500000001,110.59585499999999,114.13270499999999,117.86454499999999,121.44006999999999,124.89872000000001,128.20198999999997,131.170785,133.75172500000002,136.12636999999998
